cd_cliente,qtd_contratacoes_12m,vlr_contratacoes_12m
T16447,2,0.00840771473583952
T07888,1,0.00420385736791976
T09519,1,0.00420385736791976
T15176,1,87.1543709517125
T07049,5,3340.88952743319
T03585,2,7147.56645123189
T08368,1,945.867907781946
T03718,2,1821.89713311064
T13023,2,0.00840771473583952
T07654,2,0.00840771473583952
T12062,2,0.0210192868395988
T10145,2,0.00840771473583952
T17433,2,0.00840771473583952
T11687,1,0.00420385736791976
T07457,1,146.962649725107
T09129,4,1163.85052388069
T09935,2,0.0126115721037593
T04411,3,561.446170772523
T03231,2,0.00840771473583952
T08810,2,12420.7758332589
T07602,2,2647.22363472486
T09163,5,24141.9331117764
T06638,2,0.00840771473583952
T14354,1,0.00420385736791976
T10872,2,0.00840771473583952
T11293,3,298.436038405992
T16646,2,3480.83593921124
T15878,3,17080.1842048533
T16751,1,132.87131982784
T15971,2,0.00840771473583952
T13629,7,164512.930280128
T13347,3,4213.74484044911
T15561,1,7402.06797628575
T08492,1,4442.6112432734
T07742,1,0.00420385736791976
T02250,6,73511.3740350193
T07849,1,0.00420385736791976
T49954,2,6830.96974899649
T11454,1,3563.13065104564
T06525,1,763.73999117419
T11036,3,7297.86275984976
T22175,6,12656.6248431713
T11510,1,0.00420385736791976
T04205,1,0.0126115721037593
T41068,1,4309.35737242507
T05748,2,0.00840771473583952
T05997,2,800.66247043663
T09481,1,0.00840771473583952
T06937,4,21268.4158349365
T11906,2,8702.02679016758
T09401,2,0.00840771473583952
T10494,3,15462.4726279598
T08881,1,4393.47235449978
T13275,3,1760.0247603696
T09590,7,22646.69671544
T11677,3,30123.5723335879
T16284,2,5333.52632754189
T06961,5,1124.12827561122
T13468,2,22607.6344727773
T12368,2,0.00840771473583952
T22532,1,882.599854394754
T10752,3,0.0126115721037593
T23398,3,5594.82128610231
T15314,2,29533.1531778357
T15865,4,34101.6237068472
T06131,3,75.8249753451687
T15140,2,0.00840771473583952
T03753,2,0.00840771473583952
T23824,1,836.336404060797
T09188,1,1708.00622929896
T15628,1,4097.45773793771
T13065,1,148.396165087568
T17891,3,260.866165108893
T15283,2,18999.648663616
T07800,3,14726.8984811507
T11037,1,1616.95067870982
T11387,2,0.0210192868395988
T04851,2,1065.94688963921
T05273,9,21120.6208214525
T14012,3,2133.44920650454
T07784,1,3640.11589102435
T11727,1,375.089173652641
T12377,15,45734.037556328
T16597,4,51893.5461872335
T11271,1,0.00420385736791976
T11855,4,2092.24299658419
T16758,2,0.00840771473583952
T15954,1,3914.04344097537
T21308,1,178.66393813659
T16545,1,9874.11687448939
T14439,5,6354.29856590543
T13454,2,0.00840771473583952
T15633,2,1997.58474023074
T13918,2,10103.6853214941
T10765,1,21836.3569653424
T07826,2,5670.10816770439
T10019,1,173.728609586652
T50223,2,0.00840771473583952
T12061,2,0.00840771473583952
T07499,9,50300.1034789251
T12825,2,117285.447170702
T23793,4,23222.8521831429
T12562,1,497.207026333342
T06925,1,649.748194785678
T46735,3,8142.31681248801
T11026,3,0.016815429471679
T07272,1,0.00420385736791976
T09860,6,54351.6508905477
T07543,3,5913.923487329
T16221,2,53298.2693305812
T12653,1,15817.1394625191
T16951,2,0.016815429471679
