icliente,mrr12m
T09481,1747.301529
T06016,286.781472
T16221,805.989087
T12132,701.139917
T10679,697.637036
T16250,254.558909
T13275,217.360578
T03752,2370.575785
T15173,443.4448
T16284,146.939834
T07651,1060.895654
T10981,299.491084
T11871,650.667605
T16514,669.203734
T10182,492.115075
T16438,606.966831
T15080,276.967774
T14551,178.531516
T11082,227.546823
T11754,596.246801
T06661,4415.625181
T15893,1279.973258
T09466,1288.471357
T12062,965.956014
T10216,369.137108
T10121,218.260527
T10560,812.445882
T16800,456.211736
T10392,424.306918
T11387,883.194538
T09269,213.194498
T07145,124.201767
T13109,142.978419
T07912,859.958771
T11727,1259.273563
T16696,182.500351
T13780,988.354792
T10872,228.990202
T16544,422.172316
T12280,918.874164
T13046,218.126865
T27782,1614.213628
T09440,1630.042272
T14841,419.173193
T12467,266.947552
T16326,1184.848651
T12315,71.824953
T16607,381.421033
T07296,518.177191
T10019,148.807839
T26027,67.2428
T14167,224.483428
T13659,4148.016915
T11036,2117.995414
T16333,489.940074
T13937,1235.565448
T10471,7524.341371
T10289,2507.599985
T24598,900.047544
T07272,502.166737
T09860,2294.843186
T06542,982.509243
T17348,1255.434209
T12653,1720.835498
T16210,375.275077
T16602,4618.19355
T14245,329.754711
T04028,557.343169
T16765,531.296009
T19295,967.233851
T07682,323.732642
T13468,825.939857
T12368,1590.583584
T16667,279.914646
T10752,343.706893
T17149,243.609388
T15176,220.447458
